iter	Passed	Remaining
629	10993	23907
630	11009	23886
631	11025	23865
632	11047	23858
633	11069	23850
634	11089	23837
635	11106	23820
636	11125	23805
637	11143	23788
638	11159	23767
639	11178	23754
640	11197	23739
641	11213	23720
642	11236	23713
643	11258	23706
644	11278	23694
645	11297	23679
646	11315	23663
647	11335	23650
648	11354	23637
649	11374	23622
650	11391	23604
651	11410	23591
652	11428	23574
653	11450	23566
654	11469	23551
655	11490	23542
656	11511	23530
657	11531	23518
658	11550	23503
659	11568	23487
660	11590	23479
661	11608	23463
662	11625	23444
663	11645	23431
664	11665	23419
665	11689	23413
666	11711	23404
667	11732	23394
668	11749	23375
669	11769	23363
670	11785	23343
671	11804	23327
672	11820	23307
673	11840	23294
674	11857	23276
675	11876	23261
676	11893	23242
677	11909	23222
678	11926	23202
679	11942	23183
680	11962	23170
681	11982	23156
682	12004	23146
683	12025	23136
684	12044	23122
685	12061	23103
686	12076	23080
687	12091	23058
688	12111	23044
689	12130	23031
690	12150	23017
691	12175	23013
692	12191	22993
693	12210	22977
694	12230	22965
695	12250	22951
696	12272	22943
697	12291	22927
698	12308	22909
699	12325	22891
700	12345	22876
701	12364	22861
702	12382	22845
703	12401	22830
704	12420	22815
705	12441	22802
706	12458	22784
707	12475	22765
708	12494	22750
709	12513	22736
710	12535	22725
711	12556	22713
712	12576	22700
713	12594	22684
714	12615	22672
715	12635	22659
716	12653	22642
717	12673	22629
718	12690	22609
719	12711	22597
720	12731	22585
721	12749	22567
722	12767	22551
723	12787	22537
724	12806	22521
725	12823	22503
726	12847	22496
727	12868	22484
728	12885	22464
729	12906	22454
730	12927	22441
731	12944	22422
732	12962	22405
733	12980	22389
734	12997	22370
735	13016	22353
736	13031	22332
737	13051	22319
738	13072	22306
739	13091	22290
740	13113	22280
741	13132	22264
742	13149	22246
743	13165	22225
744	13183	22208
745	13202	22192
746	13221	22177
747	13243	22166
748	13262	22151
749	13280	22134
750	13302	22123
751	13322	22110
752	13341	22093
753	13358	22074
754	13377	22058
755	13396	22043
756	13415	22027
757	13433	22011
758	13452	21995
759	13469	21976
760	13486	21957
761	13502	21936
762	13520	21919
763	13536	21899
764	13556	21884
765	13572	21865
766	13590	21848
767	13608	21830
768	13629	21817
769	13648	21801
770	13667	21785
771	13686	21770
772	13704	21753
773	13722	21736
774	13739	21716
775	13759	21703
776	13779	21689
777	13796	21670
778	13813	21650
779	13831	21633
780	13848	21614
781	13869	21602
782	13887	21584
783	13906	21569
784	13926	21555
785	13945	21539
